,job_title,company_name,company_page,location,job_type,skills
17,IT Manager,Confidential -,,"Nasr City, Cairo, Egypt",Full Time / On-site,"['Manager', '15 - 20 Yrs of Exp', 'IT/Software Development', 'Odoo', 'IT', 'ERP', 'Project Management', 'Computer Engineering', 'Networks', 'IT Infrastructure', 'Data Security', 'Firewalls']"
18,Automotive Market Research Specialist,Confidential -,,"New Cairo, Cairo, Egypt",Full Time / On-site,"['Entry Level', '1 - 3 Yrs of Exp', 'Marketing/PR/Advertising', 'Analyst/Research', 'Media/Journalism/Publishing', 'Analysis', 'business', 'Communication', 'Data Analysis', 'E-Marketing', 'Engineering', 'English']"
19,QHSE Manager,Genedy Group Construction  -,https://wuzzuf.net/jobs/careers/Genedy Group Construction-Egypt-98397,"Maadi, Cairo, Egypt",Full Time / Hybrid,"['Manager', '12 - 15 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Quality', 'Engineering - Other', 'Engineering', 'Quality Assurance', 'ISO', 'Data Analysis', 'Leadership', 'HSE', 'QHSE management']"
20,IT Specialist,Rockal -,https://wuzzuf.net/jobs/careers/Rockal-Egypt-21702,"Nasr City, Cairo, Egypt",Full Time / On-site,"['Entry Level', '0 - 2 Yrs of Exp', 'males_preferred', 'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Technical Support', 'Computer Engineering', 'Network Administration', 'Installation', 'Networking']"
21,Senior Power BI Developer,Tafeel -,https://wuzzuf.net/jobs/careers/Tafeel-Egypt-29001,"Nasr City, Cairo, Egypt",Full Time / On-site,"['5 - 10 Yrs of Exp', 'Business Development', 'Installation/Maintenance/Repair', 'IT/Software Development', 'BI', 'Computer Science', 'Data Warehouse', 'Engineering', 'ETL', 'Information Technology (IT)', 'Microsoft Power BI']"
22,iOS Mobile Developer,qTech.  -,https://wuzzuf.net/jobs/careers/Alqemam-For-Programming-Egypt-3545,"Mansoura, Dakahlia, Egypt",Full Time / On-site,"['2+ Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Software Development', 'Objective-C', 'Java', 'OpenGL', 'Mobile Development', 'Computer Science', 'Computer Engineering', 'Software Engineering']"
23,Data Engineer,Erada -,https://wuzzuf.net/jobs/careers/Erada-Egypt-89969,"Maadi, Cairo, Egypt",Full Time / On-site,"['2 - 3 Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Software Development']"
24,Data Analytics Engineer,Erada -,https://wuzzuf.net/jobs/careers/Erada-Egypt-89969,"Maadi, Cairo, Egypt",Full Time / On-site,"['3 - 4 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Analysis', 'analytical', 'Computer Science', 'Data Analytics', 'Engineering', 'Information Technology (IT)', 'Software Engineering']"
25,Textile Engineer,Tie House -,https://wuzzuf.net/jobs/careers/Tie-House-Egypt-20112,"New Cairo, Cairo, Egypt",Full Time / On-site,"['1 - 5 Yrs of Exp', 'Manufacturing/Production', 'Engineering - Other', 'Textile Engineering', 'Engineering', 'Manufacturing', 'Production', 'Textile']"
26,Data Analyst,EGEC -,https://wuzzuf.net/jobs/careers/EGEC-Egypt-19486,"Haram, Giza, Egypt",Full Time / On-site,"['2 - 5 Yrs of Exp', 'Accounting/Finance', 'Analyst/Research', 'Engineering - Other', 'analytical', 'Analysis', 'Computer Science', 'Reporting', 'Data Analysis', 'Communication skills']"
27,BI Data Analyst,Confidential -,,"Nasr City, Cairo, Egypt",Full Time / Hybrid,"['Entry Level', '1 - 3 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Analysis', 'BI Analyst', 'Data Analyst', 'excel', 'Power BI', 'Python', 'Data Analysis', 'Information Technology (IT)']"
28,Data Analyst,Carina Wear -,https://wuzzuf.net/jobs/careers/Carina-Wear-Office-Egypt-20411,"New Cairo, Cairo, Egypt",Full Time / On-site,"['Entry Level', '1 - 3 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Microsoft Power BI', 'business', 'Analysis', 'Computer Science', 'Big Data Analytics', 'Power BI']"
29,Data Quality Analyst,The Address Investments for Real Estate Consultancy -,https://wuzzuf.net/jobs/careers/The-Address-for-Realstate-Consultancy-Egypt-28523,"New Cairo, Cairo, Egypt",Full Time / On-site,"['1 - 3 Yrs of Exp', 'IT/Software Development', 'Quality', 'Engineering - Telecom/Technology', 'Analysis', 'Analyst', 'Computer Science', 'Data', 'Data Analysis', 'data quality', 'Information Technology (IT)']"
30,Senior Production Engineer (Metal Manufacturing),Outservingplus -,https://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652,"Giza, Egypt",Full Time / On-site,"['4 - 7 Yrs of Exp', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Analysis', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Management', 'Manufacturing', 'Mechanical', 'Production']"
31,Testing Engineer - R&D (Farm Equipment),شركه طنطا موتورز -,https://wuzzuf.net/jobs/careers/شركه-طنطا-موتورز-Egypt-42744,"Tanta, Gharbia, Egypt",Full Time / On-site,"['3 - 6 Yrs of Exp', 'Manufacturing/Production', 'Quality', 'Engineering - Mechanical/Electrical', 'Agricultural Engineering', 'Mechanical Engineering', 'Testing']"
32,HVAC Engineer,Wadi Degla Trading  -,https://wuzzuf.net/jobs/careers/Wadi-Degla-Trading--Egypt-40793,"Cairo, Egypt",Full Time / On-site,"['Manager', '3 - 6 Yrs of Exp', 'Engineering - Mechanical/Electrical', 'HVAC', 'Installation', 'Mechanical', 'Mechanical Engineering', 'mechanical power', 'mechanical power engineering']"
33,Project Engineer,Dakahlia Group -,https://wuzzuf.net/jobs/careers/Dakahlia-Group-Egypt-4638,"Alsadat City, Monufya, Egypt",Full Time / On-site,"['5 - 8 Yrs of Exp', 'Project/Program Management', 'Mechanical Engineering', 'Engineering', 'Project', 'Projects', 'Project Management']"
34,Senior Production Engineer,Outservingplus -,https://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652,"Giza, Egypt",Full Time / On-site,"['2 - 4 Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Computer Science', 'engineer', 'Engineering', 'Analysis', 'Information Technology (IT)', 'Management', 'Manufacturing']"
35,Electrical Engineer,Confidential -,,"Kit Kat, Giza, Egypt",Full Time / On-site,"['3 - 5 Yrs of Exp', 'males_only', 'Engineering - Mechanical/Electrical', 'Electrical Engineer', 'Electrical Engineering', 'Engineering', 'Electrical']"
36,Electrical Technical Office Engineer,SEG -,https://wuzzuf.net/jobs/careers/SEG-Egypt-75566,"New Capital, Cairo, Egypt",Full Time / On-site,"['7 - 10 Yrs of Exp', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Electrical', 'Electrical Engineering', 'Revit', 'Technical Office', 'Shop Drawings', 'Microsoft Office', 'Computer Skills', 'Engineering']"
37,Senior Mechanical Design Engineer,Confidential -,,"Cairo, Egypt",Full Time / On-site,"['5 - 8 Yrs of Exp', 'Engineering - Mechanical/Electrical', '3D', 'AutoCAD', 'Mechanical Engineering', 'CAD', 'Development', 'Engineering']"
38,Structure Design Engineer,CPAS -,https://wuzzuf.net/jobs/careers/C-Pass-Egypt-43890,"Heliopolis, Cairo, Egypt",Full Time / On-site,"['Entry Level', '1 - 3 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'Creative/Design/Art', 'Civil Engineering', 'AutoCAD', 'Revit', 'SAP', 'Engineering', 'Design', 'Computer Skills', 'English']"
39,Senior Technical Operation Engineer,Cashcall -,https://wuzzuf.net/jobs/careers/Cash-Call-Egypt-39990,"Maadi, Cairo, Egypt",Full Time / Hybrid,"['3+ Yrs of Exp', 'IT/Software Development', 'Project/Program Management', 'Analyst/Research', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Networking', 'Operations', 'SQL', 'Linux']"
40,Sr. Configuration Engineer,COLAS RAIL Egypt -,https://wuzzuf.net/jobs/careers/COLAS-RAIL-Egypt-Egypt-31734,"Sheraton, Cairo, Egypt",Full Time / On-site,"['4 - 6 Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Computer Engineering', 'Engineering']"
41,Data Analyst Team Leader,3Sixty -,https://wuzzuf.net/jobs/careers/360Imaging-Egypt-6022,"Mohandessin, Giza, Egypt",Full Time / Hybrid,"['3 - 5 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'AWS', 'Analysis', 'Computer Engineering', 'Azure', 'Computer Science', 'Data Analyst', 'Data Analysis']"
42,Electrical Engineer,Confidential -,,"6th of October, Giza, Egypt",Full Time / On-site,"['Entry Level', '1 - 2 Yrs of Exp', 'Other', 'Electrical Engineering', 'Electrical', 'Manufacturing', 'Engineering', 'Electrical manufacturing']"
43,Electrical Engineer (Farm),Confidential -,,"Cairo, Egypt",Full Time / On-site,"['2 - 5 Yrs of Exp', 'Engineering - Mechanical/Electrical', 'Engineering - Other', 'Electrical Engineer', 'Communication', 'Mechanical Engineering', 'Electrical Engineering', 'Electrical manufacturing', 'Safety', 'Electrical']"
44,Junior Technical Architect Engineer,ADC-Architecture&Design Consultants -,https://wuzzuf.net/jobs/careers/◌ِADC-Architecture-amp-Design-Consultants-Egypt-52281,"Sheikh Zayed, Giza, Egypt",Full Time / On-site,"['Entry Level', '1 - 3 Yrs of Exp', 'Engineering - Construction/Civil/Architecture', 'AutoCAD', 'Architectural Engineering', 'Engineering', 'Revit', 'Design']"
45,Design Engineer,KIER CONSTRUCTION LIMITED -,https://wuzzuf.net/jobs/careers/KIER CONSTRUCTION LIMITED-Egypt-111037,"Zamalek, Cairo, Egypt",Full Time / Remote,"['Entry Level', '1 - 7 Yrs of Exp', 'Creative/Design/Art', 'Engineering - Mechanical/Electrical', 'Engineering - Other', 'Engineering', 'Mechanical Engineering', 'design engineer', 'Mechanical', 'CAD']"
46,Devops Engineer,National Technology -,https://wuzzuf.net/jobs/careers/National-Technology-Egypt-5626,"Nasr City, Cairo, Egypt",Full Time / Hybrid,"['2 - 3 Yrs of Exp', 'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'AWS', 'Azure', 'CI/CD', 'Computer Science', 'DevOps', 'Docker', 'Engineering']"
47,Electrical technical office engineer,Sinoma-cdi -,https://wuzzuf.net/jobs/careers/Sinoma-cdi-Egypt-46057,"New Cairo, Cairo, Egypt",Full Time / On-site,"['5 - 7 Yrs of Exp', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Electrical Engineering']"
